time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2007-10-21T14:24:20.090Z,-3.591,100.803,35,5.5,mwc,201,28.7,,0.86,us,usp000fr0h,2015-02-11T17:18:42.000Z,"Kepulauan Mentawai region, Indonesia",earthquake
2007-10-21T16:25:35.040Z,-3.592,100.859,27.6,5.6,mwc,189,32.9,,1.13,us,usp000fr0q,2015-02-12T23:25:29.047Z,"Kepulauan Mentawai region, Indonesia",earthquake
2007-10-23T19:56:47.390Z,-1.996,99.896,30,5.8,mwc,259,28.7,,0.83,us,usp000fr4d,2015-02-12T22:53:11.999Z,"Kepulauan Mentawai region, Indonesia",earthquake
2007-10-24T21:02:50.610Z,-3.899,101.02,21,6.8,mwc,494,23.9,,1.18,us,usp000fr6r,2015-02-12T20:42:22.836Z,"southern Sumatra, Indonesia",earthquake
2007-10-25T03:44:40.770Z,-6.317,154.827,54.6,5.6,mwb,217,24,,1.19,us,usp000fr7d,2015-02-12T23:12:07.315Z,"Bougainville region, Papua New Guinea",earthquake
2007-10-25T05:25:33.550Z,-3.541,100.794,29.7,5.5,mwc,185,42,,0.92,us,usp000fr7m,2015-02-11T17:18:42.000Z,"Kepulauan Mentawai region, Indonesia",earthquake
2007-10-25T08:35:17.580Z,-20.602,-68.754,100,5.6,mwc,222,67.1,,1.02,us,usp000fr80,2015-02-12T22:00:15.981Z,"Tarapaca, Chile",earthquake
2007-10-25T13:50:04.260Z,46.011,154.231,20,6.1,mwc,576,38.6,,0.86,us,usp000fr8c,2015-02-12T21:17:37.372Z,"east of the Kuril Islands",earthquake
2007-10-26T09:10:41.160Z,-2.877,139.596,13,5.5,mwc,61,38,,1.02,us,usp000fr9p,2015-02-11T17:18:42.000Z,"near the north coast of Papua, Indonesia",earthquake
2007-10-26T09:17:04.880Z,-2.847,139.574,10,5.5,mwc,99,38,,1.02,us,usp000fr9q,2015-02-11T17:18:42.000Z,"near the north coast of Papua, Indonesia",earthquake
2007-10-26T15:23:30.040Z,54.52,-161.71,43.2,5.5,mwc,479,64.3,,0.95,us,usp000frab,2015-02-11T17:18:42.000Z,"Alaska Peninsula",earthquake
2007-10-26T16:34:47.990Z,-3.271,143.763,35,5.6,mwc,86,35.2,,1.21,us,usp000fraf,2015-02-12T22:55:32.529Z,"near the north coast of New Guinea, Papua New Guinea",earthquake
2007-10-31T03:04:54.810Z,37.434,-121.774,10,5.6,mwc,282,75,,,us,usp000frne,2015-02-12T23:46:43.098Z,"San Francisco Bay area, California",earthquake
2007-10-31T03:30:15.960Z,18.9,145.388,207,7.2,mwb,461,19.4,,1.09,us,usp000frnh,2015-02-12T23:40:44.982Z,"Pagan region, Northern Mariana Islands",earthquake
2007-10-31T13:44:19.760Z,51.418,-178.38,28,6,mwc,552,30.3,,0.86,us,usp000frpp,2015-02-12T21:59:53.733Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
2007-11-01T00:05:17.210Z,-4.985,153.658,35,5.5,mwb,120,52.3,,1,us,usp000frqm,2015-02-11T17:18:43.000Z,"New Ireland region, Papua New Guinea",earthquake
2007-11-01T21:45:37.900Z,-6.594,154.764,35,5.6,mwc,161,29.3,,0.88,us,usp000frsz,2015-02-12T23:00:49.287Z,"Bougainville region, Papua New Guinea",earthquake
2007-11-02T12:40:10.210Z,-15.376,-173.165,10,5.7,mwc,234,51.2,,1.1,us,usp000frua,2015-02-12T21:26:21.171Z,"Tonga",earthquake
2007-11-02T13:30:44.020Z,-15.593,-173.066,10,5.8,mwc,271,41.3,,1.38,us,usp000frug,2015-02-12T20:27:12.372Z,"Tonga",earthquake
2007-11-02T21:20:13.380Z,-55.172,-129.214,10,5.6,mwc,19,100.7,,1.56,us,usp000frv1,2015-02-12T21:32:40.291Z,"Pacific-Antarctic Ridge",earthquake
2007-11-02T22:31:43.880Z,-55.466,-128.966,10,6.1,mwb,144,72.7,,1.42,us,usp000frv7,2015-02-12T20:42:10.997Z,"Pacific-Antarctic Ridge",earthquake
2007-11-04T01:31:10.110Z,-51.822,161.363,10,5.6,mwc,18,162.1,,1.25,us,usp000fry0,2015-02-12T23:26:40.466Z,"north of Macquarie Island",earthquake
2007-11-04T20:35:37.320Z,-67.034,111.199,10,5.7,mwc,82,65.2,,1.14,us,usp000frzm,2015-02-12T21:11:07.454Z,"Antarctica",earthquake
2007-11-06T02:15:46.730Z,38.155,73.264,131.3,5.5,mwc,273,55.6,,1.07,us,usp000fs1e,2015-02-11T17:18:43.000Z,"Tajikistan",earthquake
2007-11-07T07:10:21.970Z,22.15,92.388,28.7,5.5,mwc,172,74.8,,0.79,us,usp000fs3t,2015-02-11T17:18:43.000Z,"India-Bangladesh border region",earthquake
2007-11-10T01:13:29.350Z,-51.777,161.318,10,6.6,mwc,73,49.3,,1.33,us,usp000fs9s,2015-02-12T21:38:46.459Z,"north of Macquarie Island",earthquake
2007-11-10T16:11:24.510Z,-11.547,166.279,45,5.7,mwb,117,45.6,,1.16,us,usp000fsas,2015-02-12T22:31:00.848Z,"Santa Cruz Islands",earthquake
2007-11-10T23:19:43.320Z,-3.277,100.531,15,5.9,mwc,274,31.6,,0.7,us,usp000fsb8,2015-02-12T22:37:22.817Z,"Kepulauan Mentawai region, Indonesia",earthquake
2007-11-10T23:42:42.480Z,-0.552,99.473,35,5.5,mwc,167,76,,0.81,us,usp000fsb9,2015-02-11T17:18:43.000Z,"southern Sumatra, Indonesia",earthquake
2007-11-11T07:37:35.410Z,-21.55,175.342,25,5.5,mwb,138,42.3,,0.96,us,usp000fsbt,2015-02-11T17:18:43.000Z,"south of the Fiji Islands",earthquake
2007-11-12T00:25:44.010Z,10.449,145.746,7,5.7,mwc,251,24.5,,0.77,us,usp000fsd7,2015-02-12T21:52:11.748Z,"south of the Mariana Islands",earthquake
2007-11-14T15:40:50.530Z,-22.247,-69.89,40,7.7,mwc,610,22.4,,1.11,us,usp000fshy,2015-02-12T20:52:59.091Z,"Antofagasta, Chile",earthquake
2007-11-14T15:40:53.000Z,-22.247,-69.89,40,7.7,,,,,,atlas,atlas20071114154053,2015-02-04T08:28:25.654Z,"Antofagasta, Chile",earthquake
2007-11-14T17:44:04.300Z,-23.215,-70.526,38,5.7,mb,218,48.9,,,us,usp000fsjk,2015-02-12T20:56:53.980Z,"Antofagasta, Chile",earthquake
2007-11-14T18:47:51.130Z,-11.538,166.264,46.6,5.5,ms,81,39.5,,1.08,us,usp000fsju,2014-11-07T01:34:10.405Z,"Santa Cruz Islands",earthquake
2007-11-15T15:03:08.750Z,-22.867,-70.407,27,6.3,mwc,318,44.6,,1.05,us,usp000fsme,2015-02-12T21:22:21.174Z,"near the coast of Antofagasta, Chile",earthquake
